,name,category3_new,cut_name,cat_id
0,王牌烧烤王牌,烧烤店,王牌 烧烤 王牌,1
1,优选牛肉汤,非连锁中式快餐店,优选 牛肉汤,2
2,尊宝披萨,连锁西式快餐店,尊宝 披萨,3
3,艾佳烧烤,烧烤店,艾佳 烧烤,1
4,披萨披萨,连锁西式快餐店,披萨 披萨,3
5,牛庄牛肉汤,非连锁中式快餐店,牛庄 牛肉汤,2
6,湛江烧烤,烧烤店,湛江 烧烤,1
7,淮南牛肉汤,非连锁中式快餐店,淮南 牛肉汤,2
8,湛江牛肉汤,非连锁中式快餐店,湛江 牛肉汤,2
9,湛江牛杂,小吃店,湛江 牛杂,4
10,东北兄弟烧烤,烧烤店,东北 兄弟 烧烤,1
11,东北饺子,非连锁中式快餐店,东北 饺子,2
12,华莱士,连锁西式快餐店,华莱士,3
13,吉哥烧烤小馆,烧烤店,吉哥 烧烤 小馆,1
14,华莱士,连锁西式快餐店,华莱士,3
15,人间客牛肉粉,非连锁中式快餐店,人间 牛肉 粉,2
16,乐轩烧烤,烧烤店,乐轩 烧烤,1
17,常德津市牛肉粉,非连锁中式快餐店,常德 津市 牛肉 粉,2
18,化州饺子,非连锁中式快餐店,化州 饺子,2
19,戒嘴牛杂,小吃店,戒嘴 牛杂,4
20,(皿)ヒヤシンス,甜品店,,5